ASM1150v1,ASM1046v1,98.835,93504,1035,24,1257638,1351108,1251383,1344865,0,1.67E+05
ASM1150v1,ASM1046v1,98.966,68096,674,9,1661303,1729392,1586469,1654540,0,1.22E+05
ASM1150v1,ASM1046v1,98.249,51793,813,62,567243,618966,552488,604255,0,90533
ASM1150v1,ASM1046v1,98.286,50161,806,32,764903,815032,727341,777478,0,87816
ASM1150v1,ASM1046v1,99.03,44417,404,18,2259361,2303758,2224925,2269333,0,79610
ASM1150v1,ASM1046v1,98.341,42785,683,21,1801795,1844561,1719678,1762453,0,75050
ASM1150v1,ASM1046v1,98.125,41765,724,30,2739603,2781345,2718085,2759812,0,72733
ASM1150v1,ASM1046v1,97.61,41633,904,50,1855949,1897514,1775764,1817372,0,71285
ASM1150v1,ASM1046v1,98.973,39815,384,19,1217801,1257602,1211608,1251410,0,71235
ASM1150v1,ASM1046v1,97.555,40005,912,51,473546,513509,461903,501882,0,68397
ASM1150v1,ASM1046v1,98.633,38249,505,15,1098617,1136857,1050824,1089062,0,67719
ASM1150v1,ASM1046v1,96.607,37110,1157,58,2802328,2839377,2780801,2817868,0,61461
ASM1150v1,ASM1046v1,98.82,34161,373,17,922409,956563,883167,917303,0,60824
ASM1150v1,ASM1046v1,97.767,34174,697,46,2425114,2459249,2393505,2427650,0,58820
ASM1150v1,ASM1046v1,98.923,32875,310,25,2121901,2154755,2085587,2118437,0,58707
ASM1150v1,ASM1046v1,95.236,36709,1694,41,1510553,1547226,1482957,1519645,0,58048
ASM1150v1,ASM1046v1,99.25,31752,232,6,2393479,2425229,2361759,2393505,0,57311
ASM1150v1,ASM1046v1,99.168,31136,251,7,521104,552236,508356,539486,0,56056
ASM1150v1,ASM1046v1,96.884,32441,973,26,687428,719845,681509,713934,0,54272
ASM1150v1,ASM1046v1,96.977,32120,822,76,1146808,1178848,1142012,1174061,0,53797
ASM1150v1,ASM1046v1,98.409,30422,449,14,2079016,2109418,2044042,2074447,0,53465
ASM1150v1,ASM1046v1,97.192,30978,831,36,2845127,2876080,2825813,2856775,0,52349
